Comparing
CDEF=,OmniMech,Primitive,EliteMech,PrototypeMech,ProtoMech,SLDFMech,HeroMech,ClanMech,SocietyMech,
MDEF=,,unit_primitive,unit_elite,unit_prototype,unit_protomech,unit_sldf,unit_hero,,,unit_legendary
===================,headerlines,4
|CONFLICT| ,CDef // MDef, || ,Missing Tag, |Missing in| ,file
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1b.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1b.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1b.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1b.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1b.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1c.json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1c.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1c.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1c.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1c.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1c.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1d.json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1d.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1d.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1d.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1d.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_arctic_fox_af1d.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-A.json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-A.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-A.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-A.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-A.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-A.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-C.json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-C.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-C.json
CONFLICT ,ProtoMech // unit_protomech, || ,ProtoMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-C.json
CONFLICT ,SLDFMech // unit_sldf, || ,SLDFMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-C.json
CONFLICT ,HeroMech // unit_hero, || ,HeroMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-C.json
CONFLICT ,Primitive // unit_primitive, || ,Primitive, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-CM.json
CONFLICT ,EliteMech // unit_elite, || ,EliteMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-CM.json
CONFLICT ,PrototypeMech // unit_prototype, || ,PrototypeMech, Missing in ,\Base 3061\chassis\chassisdef_atlas_AS7-CM.json
